stock_id,name,buy_date,buy_price,shares,buy_cost,sell_date,sell_price,sell_net,pnl,ret_pct
6140,訊達,2024-01-11,42.0,42,1492.76,2024-01-12,43.9,1553.56,60.8,4.07
6140,訊達,2024-01-15,43.85,42,1558.47,2024-01-16,45.8,1620.84,62.38,4.0
5314,世紀*,2024-01-17,120.0,270,1621.0,2024-01-18,114.5,1540.11,-80.89,-4.99
5314,世紀*,2024-01-19,122.0,252,1538.2,2024-04-19,267.0,3352.77,1814.57,117.97
2359,所羅門,2024-04-22,92.8,36,3342.13,2024-04-23,86.3,3096.24,-245.89,-7.36
2359,所羅門,2024-04-26,114.0,27,3079.23,2024-04-29,108.5,2919.54,-159.69,-5.19
2724,藝舍-KY,2024-04-30,39.5,74,2924.17,2024-07-23,35.0,2581.2,-342.97,-11.73
6144,得利影,2024-07-26,85.2,30,2557.02,2024-07-29,88.0,2631.03,74.01,2.89
6144,得利影,2024-07-30,80.8,33,2667.46,2024-07-31,82.0,2696.8,29.34,1.1
6144,得利影,2024-08-01,83.9,32,2685.87,2024-08-02,84.6,2698.0,12.13,0.45
6144,得利影,2024-08-05,84.3,32,2698.68,2024-08-06,81.9,2611.89,-86.78,-3.22
4510,高鋒,2024-08-07,39.7,66,2621.25,2024-08-08,43.1,2834.93,213.69,8.15
4510,高鋒,2024-08-09,40.6,70,2843.13,2024-08-12,38.9,2713.74,-129.39,-4.55
4510,高鋒,2024-08-13,38.8,70,2717.08,2024-08-14,39.6,2762.58,45.49,1.67
4510,高鋒,2024-08-15,39.5,69,2726.59,2024-08-16,41.9,2881.27,154.69,5.67
9906,欣巴巴,2024-08-19,217.48,13,2828.38,2024-09-09,182.7,2367.02,-461.36,-16.31
8080,泰霖,2024-09-10,36.2,67,2426.4,2024-09-11,34.9,2330.29,-96.11,-3.96
4569,六方科-KY,2024-09-12,221.0,10,2211.0,2024-09-13,229.0,2282.13,71.13,3.22
4569,六方科-KY,2024-09-16,240.0,10,2401.0,2024-11-04,244.5,2436.66,35.66,1.49
4991,環宇-KY,2024-11-05,83.5,29,2422.5,2024-11-15,88.8,2566.45,143.95,5.94
3447,展達,2024-11-18,89.5,29,2596.54,2024-11-19,92.4,2670.49,73.96,2.85
3447,展達,2024-11-20,90.0,29,2611.04,2024-11-21,83.2,2404.56,-206.48,-7.91
8032,光菱,2024-11-22,84.0,29,2437.0,2024-11-25,83.4,2410.34,-26.66,-1.09
8044,網家,2024-11-26,57.4,42,2411.8,2024-11-27,53.5,2239.26,-172.54,-7.15
8101,華冠,2024-12-06,35.45,64,2269.8,2025-01-06,18.7,1192.21,-1077.59,-47.48
2466,冠西電,2025-01-07,80.6,14,1129.4,2025-01-14,77.0,1073.77,-55.63,-4.93
2466,冠西電,2025-01-15,77.5,14,1086.0,2025-01-16,66.0,920.23,-165.77,-15.26
2466,冠西電,2025-01-17,67.8,14,950.2,2025-03-05,74.0,1031.89,81.69,8.6
4971,IET-KY,2025-03-06,171.0,6,1027.0,2025-03-07,162.5,971.08,-55.92,-5.45
6925,意藍,2025-06-13,131.5,7,921.5,2025-09-04,141.0,983.04,61.54,6.68
6727,亞泰金屬,2025-09-05,216.0,4,865.0,2025-11-19,142.0,565.3,-299.7,-34.65
4304,勝昱,2025-11-20,29.1,26,757.6,2025-11-21,28.5,737.78,-19.82,-2.62
4304,勝昱,2025-11-24,28.4,26,739.4,2025-11-25,29.0,750.74,11.34,1.53
4304,勝昱,2025-11-26,29.8,25,746.0,2025-11-27,28.55,710.61,-35.39,-4.74
4304,勝昱,2025-11-28,29.5,24,709.0,2025-12-19,29.2,697.7,-11.3,-1.59
6465,威潤,2025-12-22,39.45,18,711.1,2026-03-24,43.7,783.24,72.14,10.14
5386,青雲,2026-03-25,332.5,2,666.0,2026-03-26,320.0,637.08,-28.92,-4.34
6217,中探針,2026-03-27,171.0,4,685.0,2026-03-30,180.0,716.84,31.84,4.65
6217,中探針,2026-03-31,180.0,4,721.0,2026-04-01,178.0,708.86,-12.14,-1.68
6217,中探針,2026-04-02,182.0,4,729.0,2026-04-07,211.5,842.46,113.46,15.56
